s_m,Lat,Lon,curvature,track_width,lateral_offset,boundary_L_m,boundary_R_m,boundary_L_lat,boundary_L_lon,boundary_R_lat,boundary_R_lon
2877.457217,39.237883,-77.967799,-0.001504,14.000000,0.156283,5.906016,8.093984,39.237863,-77.967735,39.237910,-77.967886
2880.650843,39.237856,-77.967813,-0.001018,14.000000,0.206876,5.551868,8.448132,39.237837,-77.967753,39.237885,-77.967904
2883.844470,39.237830,-77.967827,-0.000460,14.000000,0.256193,5.206648,8.793352,39.237812,-77.967771,39.237860,-77.967921
2887.038096,39.237803,-77.967841,-0.000361,14.000000,0.303931,4.872485,9.127515,39.237786,-77.967788,39.237834,-77.967939
2890.231722,39.237776,-77.967855,-0.000228,14.000000,0.349794,4.551439,9.448561,39.237760,-77.967806,39.237809,-77.967956
2893.425348,39.237749,-77.967869,0.000165,14.000000,0.393502,4.245489,9.754511,39.237735,-77.967823,39.237783,-77.967974
2896.618974,39.237723,-77.967883,0.000141,14.000000,0.434783,3.956521,10.043479,39.237709,-77.967840,39.237757,-77.967991
2899.812601,39.237696,-77.967897,0.000332,14.000000,0.473383,3.686318,10.313682,39.237683,-77.967857,39.237731,-77.968008
2903.006227,39.237669,-77.967911,0.000813,14.000000,0.509065,3.436544,10.563456,39.237657,-77.967874,39.237705,-77.968024
2906.199853,39.237642,-77.967925,0.000865,14.000000,0.541608,3.208741,10.791259,39.237632,-77.967890,39.237679,-77.968041
2909.393479,39.237616,-77.967939,0.001038,14.000000,0.570813,3.004312,10.995688,39.237605,-77.967906,39.237653,-77.968057
2912.587105,39.237589,-77.967952,0.001233,14.000000,0.596498,2.824517,11.175483,39.237579,-77.967922,39.237626,-77.968073
2915.780732,39.237562,-77.967966,0.000989,14.000000,0.618505,2.670466,11.329534,39.237553,-77.967937,39.237599,-77.968088
2918.974358,39.237535,-77.967979,0.001035,14.000000,0.636699,2.543107,11.456893,39.237527,-77.967952,39.237572,-77.968103
2922.167984,39.237508,-77.967993,0.001011,14.000000,0.650968,2.443227,11.556773,39.237500,-77.967966,39.237545,-77.968118
2925.361610,39.237481,-77.968006,0.000934,14.000000,0.661361,2.370470,11.629530,39.237473,-77.967980,39.237518,-77.968132
2928.555236,39.237454,-77.968019,0.000945,14.000000,0.668233,2.322372,11.677628,39.237447,-77.967994,39.237491,-77.968146
